treated,minutes_2023,minutes_2022,minutes_2021,age,tenure,is_lang2,is_lang1,is_connected,new_user,favorite_sports
True,10039.68,115.64,0.0,27.0,12.0,1.0,0.0,1.0,True,1
True,3647.61,0.0,6.45,19.0,9.0,0.0,1.0,0.0,True,2
True,24971.73,21.9,0.0,23.0,13.0,1.0,0.0,0.0,False,5
True,7628.95,0.0,0.0,24.0,11.0,1.0,0.0,0.0,True,1
True,509.74,0.0,0.0,27.0,10.0,1.0,0.0,0.0,True,3
True,4056.49,0.0,0.0,22.0,11.0,1.0,0.0,0.0,True,1
True,0.0,99.77,56.66,22.0,12.0,1.0,0.0,0.0,False,4
True,8472.16,21.62,20.9,27.0,15.0,1.0,0.0,0.0,True,4
True,2216.1,0.0,0.0,20.0,17.0,1.0,0.0,0.0,False,5
True,12418.07,117.66,17.41,24.0,12.0,0.0,0.0,1.0,False,5
True,8173.91,57.49,15.14,20.0,9.0,1.0,0.0,0.0,True,0
True,17094.64,0.19,0.0,21.0,13.0,1.0,0.0,0.0,False,4
True,0.0,0.0,0.0,18.0,10.0,1.0,0.0,0.0,True,4
True,18797.11,61.37,0.0,22.0,11.0,1.0,0.0,1.0,True,4
True,3023.88,0.0,129.49,18.0,11.0,1.0,0.0,0.0,True,3
True,3228.5,166.81,0.0,21.0,13.0,1.0,0.0,0.0,True,5
True,14581.86,0.0,45.01,22.0,14.0,1.0,0.0,0.0,False,4
True,7693.4,87.2,0.0,21.0,12.0,1.0,0.0,0.0,True,3
True,10804.32,0.0,102.49,29.0,12.0,1.0,0.0,0.0,False,0
True,10747.35,0.0,28.61,24.0,13.0,1.0,0.0,0.0,False,5
True,200.64,197.42,0.0,19.0,12.0,1.0,0.0,0.0,True,5
True,5243.54,0.0,0.0,29.0,16.0,0.0,0.0,0.0,False,1
True,6685.16,136.08,152.52,29.0,9.0,0.0,0.0,0.0,True,5
True,1991.4,0.0,0.0,19.0,11.0,1.0,0.0,0.0,True,1
True,11163.17,0.0,54.85,20.0,12.0,1.0,0.0,0.0,True,5
True,9643.0,176.09,0.0,25.0,13.0,1.0,0.0,1.0,True,3
True,10029.33,150.62,0.0,22.0,14.0,1.0,0.0,0.0,True,4
True,11142.87,0.0,150.12,23.0,10.0,0.0,1.0,0.0,True,1
True,16218.04,76.17,26.35,20.0,13.0,1.0,0.0,0.0,True,0
True,1110.55,25.95,78.93,19.0,13.0,1.0,0.0,0.0,True,0
True,118.26,35.49,0.0,18.0,10.0,1.0,0.0,0.0,True,0
True,6687.77,16.9,0.0,34.0,7.0,1.0,0.0,0.0,True,1
True,1574.42,82.02,99.45,19.0,13.0,1.0,0.0,1.0,True,2
True,41.13,0.0,51.49,21.0,15.0,1.0,0.0,0.0,False,3
True,3191.75,177.2,0.0,23.0,15.0,1.0,0.0,0.0,False,1
True,20505.93,0.0,51.56,32.0,16.0,1.0,0.0,0.0,False,4
True,6181.88,0.0,20.41,22.0,6.0,1.0,0.0,0.0,True,1
True,5911.55,0.0,0.0,23.0,15.0,1.0,0.0,1.0,False,3
True,3117.74,0.0,68.07,30.0,12.0,1.0,0.0,1.0,True,0
True,0.0,0.0,98.1,21.0,14.0,1.0,0.0,0.0,True,2
True,1254.58,0.0,0.0,20.0,16.0,1.0,0.0,0.0,False,0
True,13188.83,164.87,155.5,18.0,12.0,0.0,0.0,0.0,True,4
True,8118.54,0.0,15.4,20.0,12.0,1.0,0.0,0.0,True,0
True,2787.96,0.0,99.45,18.0,9.0,0.0,1.0,1.0,True,2
True,4055.78,0.0,0.0,20.0,11.0,1.0,0.0,0.0,True,2
True,155.08,0.0,135.97,22.0,12.0,1.0,0.0,1.0,True,0
True,10.68,181.42,0.0,20.0,9.0,1.0,0.0,0.0,True,3
True,117.58,0.0,0.0,18.0,9.0,1.0,0.0,0.0,True,0
True,12187.41,18.55,0.0,21.0,6.0,1.0,0.0,0.0,True,0
True,4909.99,0.0,37.53,22.0,13.0,1.0,0.0,0.0,False,0
True,48.82,18.84,0.0,25.0,9.0,1.0,0.0,0.0,True,5
True,8137.88,12.46,5.04,26.0,12.0,1.0,0.0,1.0,True,2
True,99.83,167.49,109.25,20.0,13.0,1.0,0.0,0.0,True,3
True,2411.87,0.0,0.0,19.0,13.0,1.0,0.0,0.0,False,1
True,590.78,0.0,102.22,26.0,11.0,1.0,0.0,1.0,True,5
True,0.0,47.98,0.0,19.0,12.0,1.0,0.0,0.0,True,1
True,1067.51,0.0,110.83,27.0,11.0,1.0,0.0,0.0,True,1
True,7284.99,0.0,99.92,28.0,4.0,1.0,0.0,1.0,True,2
True,13303.63,0.0,0.0,28.0,17.0,1.0,0.0,1.0,False,0
True,1070.72,128.88,65.34,19.0,13.0,0.0,0.0,0.0,True,4
True,54.34,0.0,14.35,19.0,11.0,1.0,0.0,0.0,True,3
True,2021.24,0.0,46.64,23.0,10.0,1.0,0.0,0.0,True,1
True,4739.89,218.72,0.0,25.0,11.0,1.0,0.0,0.0,True,0
True,569.56,100.48,210.88,23.0,12.0,1.0,0.0,0.0,True,1
True,787.97,24.68,0.0,22.0,4.0,1.0,0.0,0.0,True,5
True,10694.29,0.0,0.0,25.0,10.0,1.0,0.0,0.0,True,4
True,67.17,57.63,0.0,25.0,13.0,1.0,0.0,0.0,True,4
True,20.75,0.0,20.11,20.0,9.0,0.0,0.0,0.0,True,3
True,8546.72,36.76,105.11,29.0,6.0,1.0,0.0,1.0,True,5
True,7552.0,126.9,0.0,23.0,17.0,1.0,0.0,0.0,False,3
True,23.29,0.0,0.0,22.0,11.0,1.0,0.0,0.0,True,1
True,647.2,23.54,0.0,34.0,15.0,1.0,0.0,0.0,False,5
True,0.0,20.94,0.0,19.0,6.0,1.0,0.0,0.0,True,2
True,11965.81,52.95,27.16,19.0,16.0,1.0,0.0,0.0,False,1
True,9598.54,0.0,67.06,25.0,18.0,1.0,0.0,0.0,False,2
True,18783.35,0.0,0.0,19.0,13.0,0.0,0.0,0.0,True,0
True,18845.78,31.88,18.64,21.0,14.0,1.0,0.0,0.0,False,5
True,0.0,0.0,0.0,21.0,9.0,1.0,0.0,0.0,True,3
True,23044.24,35.68,0.0,30.0,12.0,1.0,0.0,0.0,True,1
True,6499.2,133.84,66.75,20.0,13.0,1.0,0.0,0.0,True,5
True,0.0,0.0,0.0,21.0,13.0,1.0,0.0,0.0,False,4
True,2435.49,304.08,0.0,20.0,14.0,1.0,0.0,0.0,False,1
True,4941.85,196.63,0.0,28.0,14.0,0.0,0.0,0.0,False,5
True,17.73,0.0,0.0,21.0,13.0,1.0,0.0,0.0,False,0
True,0.0,0.0,0.0,22.0,9.0,1.0,0.0,0.0,True,2
True,0.0,113.99,40.97,27.0,13.0,1.0,0.0,0.0,True,4
True,4008.17,10.12,0.0,22.0,12.0,0.0,1.0,0.0,True,1
True,17346.32,0.0,0.0,21.0,15.0,1.0,0.0,0.0,True,0
True,8108.06,0.0,0.0,20.0,16.0,0.0,0.0,0.0,False,1
True,139.61,15.23,0.0,19.0,8.0,1.0,0.0,0.0,True,3
True,14509.93,0.0,78.18,23.0,14.0,1.0,0.0,1.0,True,4
